Sample_H1_08	Sample_H1_09	Sample_H1_10	Sample_H1_11	Sample_H1_12	Sample_H1_14	Sample_H1_19	Sample_H1_22	Sample_H1_29	Sample_H2_05	Sample_H2_09	Sample_H2_107	Sample_H2_109	Sample_H2_119	Sample_H2_13	Sample_H2_24	Sample_H2_25	Sample_H2_28	Sample_H2_37	Sample_H2_46	Sample_H2_61	Sample_H2_76	Sample_H2_82	Sample_H2_84	Sample_H2_92	Sample_H2_96	Sample_P01	Sample_P02	Sample_P03	Sample_P06	Sample_P08	Sample_P11	Sample_P12	Sample_P15	Sample_P18	Sample_s11	Sample_s104	Sample_s109	Sample_s112	Sample_s115	Sample_s127	Sample_s128	Sample_s143	Sample_s148	Sample_s153	Sample_s154	Sample_s156	Sample_s158	Sample_s159	Sample_s164	Sample_s167	Sample_s168	Sample_s181	Sample_s184	Sample_s185	Sample_s189	Sample_s200	Sample_s201	Sample_s203	Sample_s207	Sample_s209	Sample_s77	Sample_s82	Sample_s89	Sample_s90	Sample_s91	Sample_s92	Sample_s94	Sample_s96	Sample_s97	Sample_s98	Sample_s99	Sample_S10A	Sample_S11A	Sample_S12A	Sample_S13A	Sample_S14A	Sample_S15A	Sample_S16A	Sample_S17A	Sample_S18A	Sample_S19A	Sample_S1A	Sample_S20A	Sample_S21A	Sample_S22A	Sample_S23A	Sample_S24A	Sample_S25A	Sample_S26A	Sample_S27A	Sample_S28A	Sample_S29A	Sample_S2A	Sample_S30A	Sample_S31A	Sample_S32A	Sample_S33A	Sample_S34A	Sample_S35A	Sample_S36A	Sample_S37A	Sample_S38A	Sample_S39A	Sample_S3A	Sample_S40A	Sample_S41A	Sample_S42A	Sample_S43A	Sample_S4A	Sample_S5A	Sample_S6A	Sample_S7A	Sample_S8A	Sample_S9A	Sample_S10B	Sample_S11B	Sample_S12B	Sample_S13B	Sample_S14B	Sample_S15B	Sample_S16B	Sample_S17B	Sample_S18B	Sample_S19B	Sample_S1B	Sample_S20B	Sample_S21B	Sample_S22B	Sample_S23B	Sample_S24B	Sample_S25B	Sample_S26B	Sample_S27B	Sample_S28B	Sample_S29B	Sample_S2B	Sample_S30B	Sample_S31B	Sample_S32B	Sample_S33B	Sample_S34B	Sample_S35B	Sample_S36B	Sample_S37B	Sample_S38B	Sample_S39B	Sample_S3B	Sample_S40B	Sample_S41B	Sample_S42B	Sample_S43B	Sample_S4B	Sample_S5B	Sample_S6B	Sample_S7B	Sample_S8B	Sample_S9B
0	29.389306060606	20.7300977170469	33.4243926174193	31.6214005711484	27.5156168409964	27.115990898804	23.4904907793538	24.0758361177549	26.4746858742892	30.1565589907738	31.7759498951181	33.3669892419172	28.351875727308	26.2660807980647	22.8400085025768	31.4318663280188	31.3195291781249	28.5648081201094	27.1024935653977	32.8314978030058	30.6527053688983	29.7501631894096	28.4015729258316	29.5553218106458	26.1765109060541	29.6758486482402	31.0809401008773	22.7038592364212	24.705924327002	27.2998833684464	30.1490725810061	26.2664409250565	25.4073615878855	28.4524447158735	24.2569079104843	34.752949387701	27.9563261002357	35.3255655838601	28.0518726743903	28.1428647977081	29.4646988213547	36.1292086734509	29.118378176461	32.4434269562167	27.3941595662122	30.0500379899487	32.0779567596623	28.1043658782072	29.8768784206286	31.8705065085183	29.5655231538041	27.781319509703	30.9781067343765	25.8697507207358	30.2149801929456	33.6795040586961	34.3172590527154	33.8850824159014	29.5120812146809	30.4016751441623	25.8693256274701	30.7327561210505	36.5504066776864	37.1179508925219	30.5642388719422	33.221235580842	33.6917851087977	31.7586034283466	32.0479750399266	35.7822682090695	26.1280890784132	24.2786788557357	29.806035360655	23.7382764398045	26.4224107888505	26.1210209689617	27.5875781556905	28.9159241913968	26.8878788562436	27.9126590853568	31.1021635906	22.1488365662832	27.923940207951	24.1421506523339	27.2108235798058	26.4208867093238	26.5256025442146	25.40640393963	30.3668521356712	24.1383061577402	35.0938277803102	21.4855801607408	29.9557450085717	24.078786354297	27.2546827729103	30.5849384364873	24.6976639574678	26.7366804267011	27.2519399472611	27.2899435520742	23.1320977657536	27.4093666551482	24.0960117311793	21.9525252736817	27.3904091861366	23.1515574167931	31.6505830860346	26.0975897633064	26.3525232415607	33.1821172602555	28.1870353093593	24.0403718351355	21.6280144235732	24.827785303664	26.1920910814631	31.9538740270086	30.5741834645914	25.7180377915409	25.3749851704805	30.8161736258378	25.5475831911614	30.2410685945096	29.9500844917977	33.1066338554737	26.9028878211778	36.1976714515755	32.0634958054146	30.0539582254506	28.6397427592393	33.120377493896	30.5555337755048	33.07110940097	28.4735629442854	35.3315503450883	29.7497471651583	14.8514996388454	32.0389929729077	28.6315772656965	32.6354514160598	32.973138899826	26.977743779657	32.5362739364043	33.2535453013747	26.3031460793445	31.1898072880842	27.7476736405004	26.3929525923213	29.0405028318273	26.0070515412046	33.1429092862659	28.970881998188	24.4808305259441	37.5882333965009	30.4282254957115	30.97708893436	29.6609141280866	30.0125860307433
29.389306060606	0	24.6413028929568	29.7991190733571	30.8659724808378	23.5108776637865	25.8734308808133	27.3467440327257	26.0846118262902	31.0650766197798	29.2696810160821	31.4517994769748	32.6807706093727	31.0597356442089	26.3422808438727	29.9051031165479	31.2377770709809	27.3004011742564	26.216904795134	26.119442440125	28.9238259581698	32.8872119858489	27.8830169970907	26.9996969995293	27.8459379799858	30.6664128325972	24.4341428919959	27.4119537748544	27.8334743974764	26.8975121216302	26.242118948415	27.9661109445304	30.8978590462133	28.5369500229505	26.5620572445608	28.8814001087549	32.678584469229	30.4481622458811	32.8471436870393	29.2229169903188	31.9327174463244	29.2086527357072	32.8206434923673	29.12658821448	32.6489001985044	28.5031867262089	31.9827276287124	21.3031766955402	28.5054479554598	29.7456028395853	28.8491331465164	25.2830355817291	25.6340147806419	29.98654985199	30.281943801824	30.4800417861315	33.6271432642759	33.2588454386112	30.9401900026074	28.6838871865988	26.5671412146905	29.821907449469	30.9136670546417	35.7049332086837	36.7977958478327	28.2655725559377	33.4457082889594	33.7466258406998	29.3299200321419	33.271604475134	36.688504564457	30.6857834593956	25.1616682294731	29.7708021218445	26.4920339036841	25.6376520148426	28.5678315779025	29.1765207471166	23.9869571528695	22.5611091348063	25.6156981874765	29.1523629709517	25.0253567836584	29.7447257463164	26.7763293903729	24.217239349519	27.0102614102504	27.7006720393567	28.0734736939419	28.2657316255016	25.3907462918927	34.9079169740661	28.4411705015161	26.172975221801	26.6917345164134	24.9922072831423	27.1981211082141	25.5249012857338	25.3742350589459	27.8735617449729	27.3081703637539	27.625184932608	29.0257345231492	25.4216763225385	28.7141468357989	26.7229057901101	29.4302450792909	28.402106723729	26.3245234448125	23.5343724358596	31.0101300034585	24.9855498851189	27.3398077956084	26.4183313803731	25.2464124960823	27.9544863489987	32.8937000007809	32.8788725942635	27.7723408399522	29.7259501408709	30.4039574826214	27.0278352324949	26.6816524202563	27.3621501793333	31.5321246095734	26.7209989434808	36.6284823564589	31.6794978728594	26.2139941755727	28.0689325954547	36.5024320112658	34.7650074580506	30.5064701643403	27.1341257997574	35.3532111716279	31.9382128566104	30.5952731490175	29.6268344793726	26.4422279887138	30.6858727602965	34.1682777443086	26.6673316354956	31.5976087799324	31.922034618496	27.2731763694163	31.9624338000127	27.1779832374086	30.6375297879067	28.916754265205	31.4089697499082	31.6516601121017	28.1993183232043	27.3713081835956	37.0343670109457	28.2846415673792	30.5301790370517	29.8985871398801	26.5245871162882
20.7300977170469	24.6413028929568	0	30.3542950178831	27.9138784417401	22.5179721489195	23.5253366975293	21.9572639373299	22.6383961025727	24.587916435236	27.0369858647237	28.6444136989579	30.5140401583902	26.7667931232684	22.2200542964481	23.5597308693492	28.1656572249555	27.6060930275777	25.238447129416	23.3085984023055	29.5218082254772	27.9833638580092	27.2704661904126	25.1014653880982	26.2784179536318	26.4342128491569	24.9156838009113	26.630389245874	22.529464706933	23.5241074144212	23.5978704471509	26.6845495256179	23.8170584455005	22.211245837275	24.0663881197211	24.4186642146002	30.6940236564201	26.2593134877686	32.1445594352695	23.8314418449535	27.5399618723478	26.2939123618435	31.6891744656854	25.1953726639916	29.48548996919	25.9600037910788	28.8436552269812	26.3731250473493	17.5374402269197	26.3670787114256	26.8692571248026	23.5686245515541	23.7201222448753	27.0150054395497	25.3815498085926	25.3306099132725	30.2272303446021	31.9863968825038	29.4085918641196	26.198682436391	25.3114784676349	25.4143627636093	26.7116400349205	33.476084229984	34.1975446641662	26.8320195043548	30.7371559850353	30.3883988091693	28.5875472766645	28.4653144293219	33.0126556774413	24.7456904593488	20.0593641169086	26.4782761005389	22.4133491257894	24.754800203936	27.4045848727348	24.7547508128108	24.5894223478391	23.3075637715807	25.4225084304883	27.3770302818858	19.4271206866114	25.6918595516998	23.0748803140016	24.1001422850153	23.7538778086386	25.411790556013	24.0362094840305	27.3183504968769	19.7019774272091	31.6648939277721	22.0653148770561	24.9372625003902	21.8088005908102	25.1274013251762	26.521940144345	22.9394752835797	25.6683161061375	24.1288106077275	22.5896070733253	20.8668905343432	24.8525608911164	23.9741166355942	22.2083908663558	25.0848360904372	21.6653924047489	27.5871397010449	23.566035682672	23.5893469483748	29.9493394825072	25.6405587305485	21.6975696434084	21.3961717614154	23.5467425226535	22.0164062513472	28.22347446341	28.7999684111414	24.9225594925513	24.5848014301498	27.3158070735169	23.984866786331	27.0373875571229	27.3528727189292	29.4027091948655	22.9686302094523	33.0825560595267	28.4961068111042	25.8499117483061	24.7676614420098	31.5507654811139	28.8796898341241	29.0138509212608	23.4511931468244	31.7359915951586	28.6027367700403	22.7539157608762	27.6626318762892	25.1001879765447	28.0594223812853	29.1705601722983	24.2110659430448	28.055427417886	29.0656978781558	22.6754331413947	28.7494754220912	25.0111957761719	25.1047990899995	26.8382054543327	24.5559029196589	29.5524443922285	26.3223429305949	24.3005624182261	34.3937365353779	27.0998343668635	26.57887908728	26.3663468345037	26.7889026343229
33.4243926174193	29.7991190733571	30.3542950178831	0	30.7158747530658	30.9556902825188	31.3353387133092	32.7290944185062	32.4354741220894	31.8766360988807	32.2686548917718	31.9569878148029	31.8241767732396	33.7681208409683	30.622460611569	33.5618488159497	31.6582468047064	32.1589829817779	29.7382719823625	31.5730876306101	28.5508754200387	33.703736239854	30.8716403083323	31.7802644661666	32.127312609016	34.2120073501983	29.1900484790828	29.9994454959464	32.2389836948838	32.9368925956357	33.3261568692149	29.920450800544	33.1751473982143	31.8793724358622	31.2570327510261	34.3004087237384	31.8627243159198	33.2021480357458	33.6277510017586	32.8406236587258	34.2205029996372	31.2812126020464	21.1472775992975	31.6436548854638	31.0031361892009	34.4894276546364	36.756091859246	31.3759916052097	30.6596548197395	31.4181382794102	31.9971690524016	30.6095900693358	31.4725579580102	31.2498013105211	33.4658699829321	31.9709426680235	34.2682310067035	34.3076822083205	31.093205143539	33.2018921121143	30.6135317045146	33.7605568372174	31.4475364397492	33.9381317909235	35.1695212986941	30.8329243208798	32.854613579552	29.87571003486	31.4623289613557	34.5602458163089	33.8099378472163	33.8708163028207	30.5210580960459	31.7141077068128	30.3768686862116	32.8797931334647	33.7812877545533	33.0732968290919	31.5920098240643	29.010119466361	29.1712211598733	30.5354408490832	30.7293691878374	32.6579680843821	29.8153847219539	32.4138970454881	32.3942399308843	32.1672330723784	31.6713588205437	29.6405715295027	31.5078095196236	32.1260032908433	31.8071312669692	28.0472430889605	30.0116501819947	31.2347409195383	31.4268206778421	32.6331133850742	31.9801959972113	31.0939995711116	30.0013754730527	31.4682367885818	32.258763972617	32.9482534696067	32.4805180000907	32.1040738994718	32.0677089791943	30.7134168417989	32.3764538551657	31.8962182990094	32.9642251543833	31.603526949992	31.1367780571805	31.2512823732905	31.5471900698966	31.5982816340528	32.6051301615023	34.2139530764754	33.165797916638	32.376954052316	32.4181178412398	32.9350951376187	29.024921612907	30.5984458656342	30.9541144252557	30.7900437143906	36.4026402997173	31.303675148594	33.1204807168296	32.206007445246	37.0275430938777	36.6308124097155	31.2573560772115	31.1658069733356	33.0517620040231	34.5634642171367	32.6830176482698	30.9112195042452	31.021953488676	32.0334576049536	32.4134585899785	30.9934003265125	30.7401993034109	30.7991666461398	32.6154069081042	30.5146477492454	33.2402419941792	33.6268898135535	31.3806787580634	32.487294604966	31.8327435733115	33.1461884286696	32.6548814697468	35.802540623169	31.1457585513516	33.7772069870386	31.7113436387302	31.8154041094921
31.6214005711484	30.8659724808378	27.9138784417401	30.7158747530658	0	29.9098714334507	30.4983778027947	30.2943793290925	29.6799669727568	30.2949947541204	30.3839266277926	33.0686773580803	33.7730685677106	32.4969247504429	30.111003723517	31.5466021259375	33.1518704580043	31.5912287452371	30.0405496386513	30.9132339126506	29.841101399173	33.6798587989862	30.0619478172223	30.1284460250472	32.0721387927423	32.821090070154	28.0213483752893	28.7522082267881	30.8466079057766	31.8309135961801	32.4238600757522	29.7332658523171	30.7684635471471	29.7737354948991	28.293405731973	32.6282265159871	32.6483579916584	31.1030044672224	33.5471269352849	30.505279259829	32.5424461341091	30.0862959811183	32.7762311225822	29.4025199383376	21.7137499246134	31.8106414431431	35.1205545598181	31.5981393993978	28.1126011814378	31.2738656089656	31.3269170393627	30.2617748780515	28.816769829999	30.6992377778382	32.6757851921559	30.2790037442315	33.5209403964905	32.8335911004172	31.0489652221315	31.90019330429	28.1584100144646	32.3153566773062	30.3901305195096	35.9579105089449	36.8286789734952	29.5528863807743	34.1083499304304	30.9359786572224	31.3013718471039	34.0814103091455	35.0088066770071	31.6374412700422	26.9202107082369	30.4247147131464	29.6392773794726	31.5646010391821	33.243944273295	31.8203939298414	27.793593586043	29.5029546123677	28.6967695535127	32.9297310387307	29.4633810319284	31.0033640589322	28.3602517550153	30.8752141657232	29.8294915987851	30.447743331687	30.7858717573836	30.3637258197679	30.5230643091256	32.6927584270483	29.7943663038789	29.4727881964405	28.9823615499577	30.1536343227776	31.382312431883	31.3279722938439	31.0802873908745	27.5646405265577	28.4692779642561	29.9441117995941	31.266473401295	32.037922929633	30.2299380370145	30.3065810788884	31.3378795944645	32.5865890913619	30.4156717792216	30.810117592142	34.4361217031731	31.635659973585	28.5092757608175	28.6471679442653	30.7893524513919	28.6324468622747	31.6141767897806	34.0779542894393	31.8238680157639	31.6241284352256	32.3630024960442	30.6576375884443	29.6566889760103	29.8707545874019	32.3745933104696	30.3545508644706	35.8084941431717	28.9441004497478	31.1055846241705	29.3486606745041	34.7358522822596	35.7416055076263	31.6172424012774	30.6500895995732	33.2450003481317	34.2354663290454	31.1590892024459	29.0902167338254	30.9555557431955	30.5725945494318	29.6539900333501	29.4870183183985	28.7506972845366	31.0604891757039	29.6095593391775	28.0449096039979	30.6475170756634	32.3522185993307	29.4684732826961	30.853306488339	32.8944458685997	30.8454537714942	31.7320886789525	37.4120327917001	30.4861845272347	31.1763462923343	30.3023053086453	31.6724041412832
27.5156168409964	23.5108776637865	22.5179721489195	30.9556902825188	29.9098714334507	0	26.413306170114	26.9394213827937	25.9539885616735	30.8728434010687	30.0767797683369	31.7168550218073	32.4541042136946	30.7927030360903	25.5319541954803	29.573403730241	31.2964055063769	28.8461396936791	25.1274973020552	25.1327961319628	29.6379537409536	32.8513005286287	28.0121369598612	23.6664857686614	27.633223651249	28.1627241963162	23.6732943495634	26.1255502547797	25.6158824493194	24.8766711042635	25.5580550815668	26.8335668837587	30.0903603771626	27.411265454259	26.2061767406378	27.0486007257914	33.1433643290143	30.4023903871704	33.1947103692894	28.1927705227513	31.2980295663231	27.6081949298356	33.6292410409981	30.2441143297598	32.1780170340527	28.3788133888922	32.9135570009621	28.149206713342	27.9728898870531	28.5594097809564	30.1437803489727	19.1585387019295	25.6320214932402	29.8059964123239	28.0352138778681	30.9870823675634	33.7886779505431	33.3473944676007	30.6390962370072	28.69529291347	27.7397126827314	28.2056651853335	31.0671206275004	36.6630988594449	37.7407062005421	30.1610154262178	33.7034235587231	33.4809133865093	30.2827507076837	33.6372051346275	36.1538539899145	30.0114263419289	25.2201264441905	31.3465510603465	26.0848859253069	25.5177359464949	28.667271958832	29.7124995005996	24.2687479410611	22.5748914745231	24.8726842012856	28.6250388177563	22.9106199465197	28.9541210944003	26.1771598373877	23.1223002068273	26.4496941330317	25.9246006494342	28.2306395158775	29.1393657770765	23.8868884694171	34.0250971401071	26.7242799433362	24.996830256426	25.4108269824098	25.7976904933964	26.2468049087202	24.4695743993924	24.8584658036428	27.3557954452019	25.5550669160377	26.5289532590311	27.3282507654369	25.7725628622271	28.0143825335353	24.6307598251022	27.1071063745985	29.8288009877934	25.997280099382	23.834064888977	32.408030468754	25.7430358252334	25.8775602858256	24.3794165351679	25.0419217855219	28.9839800459441	33.6263357205973	32.0342351733409	27.9164174929726	27.890875589408	32.0880886137545	25.9608353329468	27.2311155135601	27.6006774919176	30.6166638867754	27.1420566749431	36.5124741319172	31.747582484689	26.0001224699091	27.1909759954288	35.4744189461277	34.1996480948858	32.1305472148873	27.1630189256775	35.1457288492211	31.1646924540135	29.0936948390672	29.5703282435464	27.6802753033289	30.4136656431065	33.1232730479227	26.551265742377	31.7347897099264	31.8552172611011	25.9792402471237	30.9594713523289	27.2984875350912	30.43449062306	28.1869405770765	29.9228758494746	33.3333164412615	27.7603423728237	26.7412408946238	37.9522582468774	29.7481507970426	30.8053947197656	28.5478753403316	28.22250674196
27.115990898804	25.8734308808133	23.5253366975293	31.3353387133092	30.4983778027947	26.413306170114	0	24.8350087038372	25.9031921512576	28.6965372543061	27.9990806282423	29.7637992075324	30.650270622275	28.3652592658129	24.0833459650489	27.5477559399453	29.6223062492033	29.9645327520704	26.9377401757783	26.2866719581011	28.6860421666353	30.4732529779662	29.6496343362465	28.5257742349734	27.5722689682992	31.5172758983133	25.9388832324214	29.1683999497078	29.1975554040619	28.9593881401851	26.2868526545983	26.2621295252901	28.9438515875113	26.6491168008957	26.430089818323	30.4846054284378	29.9117028976787	28.8789190204433	33.6999074777318	27.0743176020081	30.8154478392004	29.0352924406113	33.1316083899237	27.3588259036084	32.0276606757734	30.1812543868899	30.2309125636453	27.9453420604714	25.4344269450818	29.4177999465461	21.1170107578684	25.9520448694504	26.8123366237068	29.4414287607308	30.4295106542493	28.0377316710046	30.3298986502687	31.7956013223795	28.5901146273243	28.30604220571	26.556362054614	31.059376490035	28.5106329298938	35.1997674696098	33.5744780520453	27.6151473138962	30.8359173374918	31.3107367160708	30.2655759525785	29.5436908114152	34.3406921302705	27.9816563097896	23.8457294403816	29.870503757784	26.1736900504691	27.9243621737683	29.3983541114366	27.5836222818944	25.3011313247859	24.1470461354541	28.6620716545827	28.0985071157777	23.4354914742514	27.6326660936327	26.1589147863059	27.0076413227685	27.9985572016267	29.1758221061069	27.2596656157629	28.227514623938	23.8600399643786	32.9120679371997	26.2805037949226	26.5741348059585	25.2808158083537	27.207131403618	28.4071784789685	26.3278447512852	27.7607124381722	26.2281354743363	27.6358544153272	26.0919691322093	30.084442111737	28.5783697191718	27.3428628760586	28.6167547156376	24.8118851063049	29.383709192808	22.5468415453375	26.2532042790338	30.5038101125837	25.6980903307678	25.6714806496701	25.4577581280249	25.5720283354338	26.2855135194318	31.4105740756338	32.3041600936661	27.9481572445872	27.7390659189439	29.5485648992626	26.180497538395	26.627706483303	29.1541220296571	31.5817528388729	25.4849907865322	34.4487540862841	30.316216074519	28.3168326195801	27.8511662838361	33.5205793905801	30.4399822738219	29.8951165986233	26.6849682421148	32.7832263474528	30.3427265377969	27.5313366667671	28.497233064594	25.4442106344473	30.4059609069838	31.8807694674896	28.1169182590224	27.9770890672791	30.568672369878	25.507286028133	31.8041034963468	27.9652447055712	29.8868784531418	29.7889922344701	26.0766326146976	30.8211267250265	24.8565552920495	29.0293614650422	35.5422294716852	28.6998024304949	27.8475768988955	28.4630380078403	28.7205831526168
23.4904907793538	27.3467440327257	21.9572639373299	32.7290944185062	30.2943793290925	26.9394213827937	24.8350087038372	0	24.0263419896314	26.8309750432355	29.1839535072054	30.3670777730607	32.4035058896693	26.5635958624556	26.0095992301874	24.7670564059428	30.0610623900105	30.1371138675174	27.5721787876684	26.3999188226441	32.2757183768283	28.6413196794413	29.3952843093704	25.0006628044559	26.0810506435183	27.4876843636722	26.4798768442703	29.0733468227936	25.8331304441101	25.1872577567842	25.3240731059822	28.7641989761768	26.695269126305	23.6467780261119	26.3887569640992	25.893992626613	32.7708036903977	28.4370732115074	33.633237237431	25.380236792335	29.3745473133038	27.0186116429057	34.7707832979651	22.5190462326418	31.7976400452532	27.3600196723417	30.6362124939351	29.1510044390898	26.5352167402006	28.1162199910437	29.8819768307273	27.1501505104135	25.29148223136	30.0216403210534	27.0033795462159	28.0435414598811	32.064597846234	33.6683794196201	32.1811876841274	27.0948693732633	27.3522544872973	26.8087672577062	29.9077780936226	35.0769103515583	35.1149358808891	29.5433056161162	33.1785085038676	32.3399223251557	31.1607535159848	30.3848928211958	34.4427851026159	26.6668073777478	21.8837607958091	28.1389404294818	23.6066346194345	26.7136961491324	25.6059505483597	27.0953673078789	26.9151095086734	26.1162475329561	28.0304661890332	29.8499267308604	22.2918177522922	28.9590348749592	23.6874610104622	26.6576426521227	24.6291091014407	24.9769051500869	22.8257216032887	29.0800532003517	23.6716860931198	33.69084714118	21.5118212925439	28.3404155537113	24.6029662593768	27.8767300993158	28.4325091683966	25.3333872214402	27.5441292902932	25.3226516786737	26.5210904984522	24.2743442913484	25.5400280884715	26.3971674297003	22.5477917743487	24.4880620749054	23.4202548910743	29.9142073396188	24.0751652028678	26.7261305780489	31.0945665773435	26.9609376654196	23.119569793598	22.8730709634469	24.2452732854441	24.2712611551331	29.5322906304558	30.352124796084	27.068797229768	27.2969670032461	29.6154278392063	25.2754696495447	29.4653638873723	29.8022156798684	31.685809568785	26.6334850859426	36.0226813891728	29.2560869931082	27.9968224868568	27.1128398877674	32.6452836618434	30.840617236169	30.9821929423356	27.5357032404414	33.1242574986309	29.7264994097377	22.6581521025907	29.963387841972	27.5722319543496	30.8312196040423	31.5621480638081	25.6443417701576	30.3260889962514	31.8659278435041	25.4349364479354	31.3100342725881	28.5020074815049	25.7686181497116	26.9387009738322	26.4943210659081	31.1306033432172	27.2494475296594	26.6153869233839	35.8982450596671	28.9209461628827	29.4934970419634	28.5608312427316	28.852184100896
24.0758361177549	26.0846118262902	22.6383961025727	32.4354741220894	29.6799669727568	25.9539885616735	25.9031921512576	24.0263419896314	0	28.0248692728072	26.352638911986	30.8460112279093	30.9800521623643	27.7589337559291	23.7756578297471	24.5022362576279	30.4545232213917	29.096302495637	27.6320420320437	25.794341306195	29.6831404876764	29.8689223843898	26.4244294089417	27.2026030239144	28.0067503854656	29.5774486725177	27.533337863411	29.283391878541	27.3494551632956	26.9477906463499	27.1730560665279	28.5851807462209	27.1786633709844	24.9081459072104	26.603637662367	29.278604390922	31.4717916394489	26.0667486383932	33.5078854843473	26.4876293091239	30.32479749783	27.7958027549008	33.590873846305	27.6109046505409	31.7716338223279	27.9852305341909	24.9729375604631	28.1408752179084	25.8798770188374	26.4555329480621	29.4081632268737	26.5790764661754	27.3891976519526	27.6763475816354	27.2324337264002	28.1570659186227	31.4552957339994	33.7130339015174	31.3018698667611	28.648220311444	27.4023397209052	29.3389732462647	28.3438563856355	35.5857721963345	35.0873631910228	28.4305409452187	31.4276929703598	31.7665124435975	27.2152424579181	31.051224697942	33.3175333272631	25.4928114416429	23.3325308197653	26.9903879218587	22.8577732023477	26.4076088649553	27.9351792041243	25.1137294177586	26.6978556126921	26.1163724093387	27.1594137114951	29.726501865146	23.2685324845364	26.6563306571868	23.7049567882258	27.1622355639461	25.8956833166397	27.6161781538119	25.1824507908418	27.4778103735852	24.8558478750377	33.2214491468591	24.4415953450004	26.8142437815253	24.4822549119166	27.5951854833473	28.2367909946431	26.6754513192234	27.8029160013224	25.7364010147832	26.1415071892386	24.3327365904811	26.7777775116022	25.1719385062461	24.3241513269805	26.7253349423025	24.8985814965129	30.231414127096	24.8215897225821	24.2738375379365	31.0620669954708	26.992383415986	24.9081524555737	23.3042876161087	24.1993584832301	25.3186099122608	29.6942651959566	29.3859172122939	26.9770748835533	25.8384753947058	28.4189298827273	27.2358555632474	28.4596547546921	28.9233923308234	31.2642191444317	26.2208908643296	34.7339890694617	30.4909613446568	27.9311946674555	27.4044882572966	34.0711378131023	30.4944066318286	30.4244740052646	28.0047129867645	33.1482534474131	29.1469740093545	25.1879111103302	28.6699916255594	27.7233229420158	30.0035479377341	31.9759809236806	27.7215732762563	29.655725946555	30.2731257838398	25.5828732496291	30.9382645195513	26.7603489374661	27.6510539740286	27.9383997005354	26.9992006665776	30.2236045142452	28.4691993972112	26.3709601991809	35.9793028824921	29.5418048969135	30.481639320611	27.5145983994032	28.4435925779816
26.4746858742892	31.0650766197798	24.587916435236	31.8766360988807	30.2949947541204	30.8728434010687	28.6965372543061	26.8309750432355	28.0248692728072	0	28.5098802238544	28.1217074548969	31.720576241355	28.5265734265516	26.2323639504373	24.1202837083367	27.9219449670493	31.7588674603748	29.9396374880439	28.7236757043001	31.9738997937789	27.7078571794993	32.3040067305329	31.3517727307929	30.8438338839195	30.4265419348173	31.2126378556711	31.1828762261601	29.3412180026517	28.6013749887731	30.2969215509042	30.6335148607271	20.5524896975106	24.0270421637048	29.6670167403643	29.3423460370024	31.8452971997896	28.7093468668404	34.4904530817633	27.3978298431494	28.1991251846679	31.477200080381	32.9052900757264	29.7305825269983	32.7525813630585	29.7705029186031	30.7355472191953	31.4232578266357	27.2045682474606	30.5858602966897	31.017730817767	30.431236402922	28.9310607200892	28.966080677539	31.3821446370835	26.3599095809742	27.0052603462705	32.9477819711794	31.3845317415041	31.1652565927986	29.4976593323112	30.4634098478939	27.9271898416828	33.0631828517281	31.8726818090218	27.7035416357738	30.9870887785995	24.7745169733315	32.4398854891601	28.6854260800039	31.7210094834722	26.2988153399079	24.5919080924715	25.9624056654217	23.8220794526223	31.7732423200079	31.802452593827	25.2190613470862	30.8018606058253	31.2923656491046	29.3037014356963	32.5696904013895	23.925924114141	26.8095671775914	25.4675915547331	30.7664061697982	29.1869925020223	29.9205694155041	23.6752870260275	30.3241394495341	27.3389294383735	33.1683801718025	22.6230569567289	30.0284156402097	23.5136046426296	30.3439880325746	31.4224954600846	26.4727566014602	29.8482449978869	27.6490272652504	26.2996274585183	20.4367954950531	30.0737678603967	29.743299026321	22.6912110406331	30.2907025228519	26.6526826625275	31.2617760895403	28.5134162596552	30.6843884001304	32.8466243152816	29.4587982034744	25.0033643973699	25.6536302813501	29.8124688661515	24.526064810635	28.0683964882042	27.7488203952349	29.4972397938354	27.162444457822	26.50442825192	29.0915062817906	31.8935403853725	31.1472230585828	32.6183725194687	26.007059695684	32.3408029150765	29.5469248866714	31.4978318052772	30.1335136154154	32.8164700766617	25.5532341183009	30.288925306796	28.368633348054	31.9726394966054	29.554575400036	25.5562612491232	29.9972566009148	28.7208044005901	32.3036289679835	29.8581154801963	28.1215693976556	29.29350286272	29.6464969187646	26.4630102362786	31.9391152277455	30.6108323460726	25.1396153218963	30.5813196624395	23.42241699111	30.3959741609788	28.3784669545956	29.0522750673949	35.8240454726827	29.1294523995875	30.3015758918213	29.2785182785043	32.2933581551877
