	Sample_H1_08	Sample_H1_09	Sample_H1_10	Sample_H1_11	Sample_H1_12	Sample_H1_14	Sample_H1_19	Sample_H1_22	Sample_H1_29	Sample_H2_05	Sample_H2_09	Sample_H2_107	Sample_H2_109	Sample_H2_119	Sample_H2_13	Sample_H2_24	Sample_H2_25	Sample_H2_28	Sample_H2_37	Sample_H2_46	Sample_H2_61	Sample_H2_76	Sample_H2_82	Sample_H2_84	Sample_H2_92	Sample_H2_96	Sample_P01	Sample_P02	Sample_P03	Sample_P06	Sample_P08	Sample_P11	Sample_P12	Sample_P15	Sample_P18	Sample_s11	Sample_s104	Sample_s109	Sample_s112	Sample_s115	Sample_s127	Sample_s128	Sample_s143	Sample_s148	Sample_s153	Sample_s154	Sample_s156	Sample_s158	Sample_s159	Sample_s164	Sample_s167	Sample_s168	Sample_s181	Sample_s184	Sample_s185	Sample_s189	Sample_s200	Sample_s201	Sample_s203	Sample_s207	Sample_s209	Sample_s77	Sample_s82	Sample_s89	Sample_s90	Sample_s91	Sample_s92	Sample_s94	Sample_s96	Sample_s97	Sample_s98	Sample_s99	Sample_S10A	Sample_S11A	Sample_S12A	Sample_S13A	Sample_S14A	Sample_S15A	Sample_S16A	Sample_S17A	Sample_S18A	Sample_S19A	Sample_S1A	Sample_S20A	Sample_S21A	Sample_S22A	Sample_S23A	Sample_S24A	Sample_S25A	Sample_S26A	Sample_S27A	Sample_S28A	Sample_S29A	Sample_S2A	Sample_S30A	Sample_S31A	Sample_S32A	Sample_S33A	Sample_S34A	Sample_S35A	Sample_S36A	Sample_S37A	Sample_S38A	Sample_S39A	Sample_S3A	Sample_S40A	Sample_S41A	Sample_S42A	Sample_S43A	Sample_S4A	Sample_S5A	Sample_S6A	Sample_S7A	Sample_S8A	Sample_S9A	Sample_S10B	Sample_S11B	Sample_S12B	Sample_S13B	Sample_S14B	Sample_S15B	Sample_S16B	Sample_S17B	Sample_S18B	Sample_S19B	Sample_S1B	Sample_S20B	Sample_S21B	Sample_S22B	Sample_S23B	Sample_S24B	Sample_S25B	Sample_S26B	Sample_S27B	Sample_S28B	Sample_S29B	Sample_S2B	Sample_S30B	Sample_S31B	Sample_S32B	Sample_S33B	Sample_S34B	Sample_S35B	Sample_S36B	Sample_S37B	Sample_S38B	Sample_S39B	Sample_S3B	Sample_S40B	Sample_S41B	Sample_S42B	Sample_S43B	Sample_S4B	Sample_S5B	Sample_S6B	Sample_S7B	Sample_S8B	Sample_S9B
Sample_P01.49	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	3.431913985	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	3.397709903	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964	-0.04377964
Sample_P01.5	1.455907629	-0.69156011	2.374258943	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	0.93958041	-0.69156011	-0.69156011	0.917028906	2.040951266	0.962823267	1.589580802	1.260873722	1.345221461	-0.69156011	-0.69156011	2.120989859	0.578855426	1.791644888	-0.69156011	2.190200654	-0.69156011	1.975102165	2.262867331	1.462641071	-0.022750413	1.42444252	-0.69156011	0.0891919	-0.69156011	-0.69156011	1.834705593	-0.69156011	0.416629026	3.560913439	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	0.340169408	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.193281062	-0.69156011	1.019706875	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	0.819645966	-0.69156011	1.624462224	0.336680573	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	0.236710636	1.063859608	-0.69156011	-0.69156011	2.170697154	0.041149821	-0.69156011	1.081005493	0.66510769	-0.69156011	0.193555666	-0.69156011	-0.69156011	-0.69156011	-0.69156011	1.804569084	1.174946045	-0.69156011	-0.69156011	3.320888991	-0.69156011	-0.69156011	2.479232585	0.583840291	2.941498846	1.31240801	-0.69156011	-0.69156011	-0.69156011	1.377173671	1.067541717	4.059541329	1.900750562	-0.69156011	-0.69156011	-0.69156011	1.151745882	1.872651635	-0.69156011	0.82079706	-0.69156011	-0.69156011	0.041429127	-0.69156011	-0.69156011	-0.69156011	-0.69156011	0.290619924	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	1.277351104	-0.69156011	-0.69156011	-0.69156011	-0.69156011	-0.69156011	2.21622931	-0.69156011	-0.69156011	-0.69156011	-0.69156011	0.257906301
Sample_P02.4	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	1.665180858	3.044540484	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	2.588360403	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	0.583581696	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	1.40728653	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091	-0.060712091
Sample_P06.1	-0.738189277	0.574763413	0.944086766	0.026137113	-0.242621973	1.081029542	1.061594388	1.17344918	-0.738189277	-0.738189277	0.110163736	0.153498078	0.279476937	0.490811773	0.922384317	-0.738189277	0.150155151	0.355566764	0.604848067	0.785978041	-0.738189277	0.048660344	-0.738189277	1.62537208	1.512760302	-0.738189277	0.74737055	-0.738189277	1.816345513	2.593929581	1.903952676	-0.738189277	0.589531818	1.944520251	1.44076311	-0.738189277	-0.738189277	-0.738189277	-0.738189277	0.651411622	-0.738189277	-0.200863733	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	1.037455293	1.380925024	-0.738189277	0.302487653	1.917255306	-0.738189277	3.222965338	0.232999924	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.064074213	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	0.322771412	0.971074067	0.736352182	-0.026034745	1.178331078	-0.738189277	-0.738189277	0.171877348	1.272739338	-0.738189277	0.651155393	0.173547802	0.001150125	0.861354186	0.368943126	-0.738189277	0.9375055	0.090800467	-0.738189277	-0.738189277	1.283767095	1.011329914	1.648990442	1.887054278	-0.738189277	1.831646475	0.981066899	-0.738189277	1.01895321	0.512429196	1.703007837	-0.738189277	-0.082385712	1.37888194	0.091324722	0.464174158	-0.738189277	1.127347353	1.072925342	1.238194822	-0.738189277	-0.137707478	-0.738189277	-0.738189277	-0.738189277	-0.738189277	0.27943498	-0.738189277	-0.738189277	-0.738189277	0.267019848	-0.738189277	-0.738189277	0.997578852	-0.738189277	-0.738189277	0.464033463	-0.738189277	-0.738189277	1.074801966	0.011945039	-0.738189277	-0.738189277	1.464501136	-0.738189277	-0.738189277	0.623773775	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	0.168963436	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277	-0.738189277
Sample_P06.5	-0.964007456	-0.964007456	-0.040531753	0.430058344	-0.964007456	2.678878331	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.120055003	0.278938189	1.239290651	0.570106823	0.794383763	-0.964007456	0.248253117	-0.124839277	0.499935948	0.857614873	1.175641336	0.934416898	-0.314789511	2.813340765	2.156815323	-0.964007456	-0.964007456	-0.964007456	-0.964007456	2.904305979	0.251427168	0.36970147	-0.546754095	-0.166862056	-0.413344424	-0.964007456	2.237462721	1.339364243	-0.964007456	2.298493305	-0.964007456	0.857701142	-0.964007456	0.347045446	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	2.10999373	-0.283370027	-0.964007456	-0.964007456	0.055172116	-0.964007456	-0.964007456	0.287809077	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	1.020922246	-0.964007456	-0.964007456	3.35453858	0.371688165	1.304666645	0.64756294	-0.964007456	-0.964007456	-0.102569338	-0.964007456	-0.964007456	0.146819852	2.718671001	0.281145797	-0.964007456	1.065284779	-0.964007456	-0.964007456	1.637766126	0.129812539	-0.964007456	0.389508427	0.528349541	2.946580596	1.265117319	0.105752459	1.674937708	-0.964007456	0.017312101	1.588109575	-0.964007456	1.682663233	2.25081162	0.623390436	-0.342188397	1.543562739	-0.964007456	-0.964007456	-0.964007456	0.712743736	0.60583421	1.698870781	2.112694371	0.130197396	1.786672433	0.882121932	-0.964007456	1.241685644	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	0.942082277	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	0.879151798	2.003385628	1.240377746	-0.386612314	0.707961357	0.895490798	0.863207309	1.355814504	-0.964007456	-0.964007456	0.84859476	-0.964007456	-0.964007456	-0.964007456	0.780107936	-0.964007456	-0.964007456	-0.964007456	-0.964007456	2.664009451	-0.964007456	-0.964007456	-0.964007456	-0.964007456	-0.964007456	1.438089676	-0.964007456	-0.964007456	0.178286283	-0.964007456
Sample_P06.7	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	2.841990514	0.976511559	0.724850181	-1.219085526	-1.219085526	1.517990021	-1.219085526	0.746742132	-1.219085526	-1.219085526	2.680670535	-1.219085526	-1.219085526	-1.219085526	2.351910714	1.101923126	-1.219085526	-1.219085526	-1.219085526	-1.219085526	1.811082303	1.369798953	0.669591908	1.584620307	-1.219085526	0.827008563	2.960933249	-1.219085526	-1.219085526	3.796453528	3.104635116	-1.219085526	2.866264245	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	3.839644404	-1.219085526	1.91819998	1.896878478	-1.219085526	3.023566558	1.013893528	-1.219085526	-1.219085526	0.750470329	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	1.462081567	0.011831256	-0.175181989	2.387092731	-1.219085526	-1.219085526	2.866686783	-1.219085526	-1.219085526	-1.219085526	0.822087791	0.605477285	-1.219085526	-1.219085526	0.655462174	-1.219085526	0.708186173	1.733965224	-1.219085526	0.793917072	0.350770174	-1.219085526	1.170240875	3.408633957	-1.219085526	-1.219085526	-1.219085526	1.473603249	-1.219085526	0.255933646	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	1.187137209	0.830096472	-1.219085526	-1.219085526	1.458838074	3.233876858	-1.219085526	0.36102929	-1.219085526	0.96929775	1.867669021	2.604099741	-1.219085526	1.252237953	4.309563169	2.419760327	-1.219085526	-1.219085526	2.961456372	2.041534847	-1.219085526	-1.219085526	2.538485189	-1.219085526	2.94665794	0.620109429	-1.219085526	2.341969454	1.442901561	-1.219085526	1.426025067	5.13094028	-1.219085526	-1.219085526	-1.219085526	0.920368241	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	-1.219085526	3.075862793	-1.219085526	-1.219085526	1.904451056	2.419755681	-1.219085526	1.423497441
Sample_P08.27	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	1.293152233	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	3.787846878	-0.29403942	-0.29403942	-0.29403942	2.349154901	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	1.724719499	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	2.377233631	-0.29403942	-0.29403942	-0.29403942	-0.29403942	2.089221225	-0.29403942	-0.29403942	1.496050792	-0.29403942	-0.29403942	-0.29403942	-0.29403942	2.056275557	-0.29403942	-0.29403942	-0.29403942	-0.29403942	2.59025661	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	0.969484345	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	3.012687156	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	1.941026641	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	1.775465583	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	2.397549055	-0.29403942	-0.29403942	1.544938068	-0.29403942	2.317605146	-0.29403942	3.735525965	-0.29403942	-0.29403942	-0.29403942	-0.29403942	-0.29403942	3.707325445	-0.29403942	-0.29403942	-0.29403942	-0.29403942
Sample_P08.34	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	0.502950332	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	2.75092193	-0.187871808	-0.187871808	1.08274494	-0.187871808	-0.187871808	-0.187871808	1.475976227	-0.187871808	0.675629718	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	2.968043627	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	2.005582433	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	0.740730173	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	0.297706777	-0.187871808	-0.187871808	-0.187871808	1.683510384	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	0.905182288	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	0.763557314	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	1.672943112	0.963276514	-0.187871808	-0.187871808	-0.187871808	-0.187871808	2.712861296	-0.187871808	-0.187871808	-0.187871808	1.264400583	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	1.623894853	-0.187871808	-0.187871808	-0.187871808	-0.187871808	2.212140576	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808	-0.187871808
Sample_P08.35	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	1.482308367	0.397814801	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	0.894941179	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	0.49914861	-0.070672885	-0.070672885	-0.070672885	2.258585241	-0.070672885	-0.070672885	-0.070672885	-0.070672885	1.997228603	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	0.536455713	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	0.910630784	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	0.47067807	-0.070672885	-0.070672885	-0.070672885	1.011795663	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885	-0.070672885
Sample_P08.38	-0.41397194	1.727501721	0.786242955	-0.41397194	-0.41397194	-0.41397194	1.348097225	-0.41397194	3.289223771	-0.41397194	-0.41397194	-0.41397194	1.737676514	1.875834604	0.10978652	-0.41397194	-0.41397194	1.745984578	0.350662941	0.332968409	1.147897471	1.584263643	-0.41397194	-0.41397194	-0.41397194	-0.41397194	0.469684411	-0.41397194	-0.41397194	-0.41397194	2.23222258	0.787187958	-0.41397194	-0.41397194	1.364376817	-0.41397194	0.218895726	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	1.171304853	0.254150234	-0.41397194	1.147018973	-0.41397194	-0.118486534	1.292240957	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	0.106861575	-0.41397194	-0.41397194	0.636936211	1.182987512	-0.41397194	0.302036079	-0.41397194	1.200013823	0.139027303	0.462804844	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.115453872	-0.41397194	-0.41397194	-0.41397194	-0.41397194	1.585109284	0.699922627	-0.41397194	-0.41397194	0.95331883	-0.41397194	2.090546304	-0.41397194	-0.41397194	0.414936153	1.558147413	0.982334447	-0.41397194	-0.41397194	2.065666092	-0.41397194	-0.41397194	-0.41397194	-0.41397194	0.306517025	1.472068614	1.448896495	0.877224211	-0.41397194	0.263663075	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	0.449515973	-0.41397194	-0.41397194	1.102240829	-0.41397194	-0.41397194	1.324800133	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194	-0.41397194
Sample_P08.42	-1.329555178	0.608064165	-0.3908093	-0.666823129	-0.635468712	0.937468736	0.350992711	0.127606659	0.871132833	-0.920699007	-0.377307385	-0.305739545	-1.329555178	-0.198426746	0.199030745	-0.642354416	-0.319856784	-0.505833315	-1.329555178	1.155729089	-0.354271247	-1.329555178	-1.329555178	0.530460085	0.850709173	-1.329555178	1.080619358	0.167786201	-0.315193156	-1.329555178	1.110423069	0.058140682	-1.329555178	0.736744088	-1.329555178	0.873717447	-0.066475631	-0.744012481	0.238888981	1.249407476	-1.329555178	0.579335998	1.490490462	1.768021875	-1.329555178	-1.329555178	1.582767129	0.758678887	1.240054066	-1.329555178	0.697049789	1.323034603	2.181190221	0.098723491	-1.329555178	1.835919123	0.046952534	-1.329555178	1.089629125	2.201437954	1.312675368	1.829630681	-0.204415295	-1.329555178	-0.189720708	-0.782953129	-0.347721494	0.340382415	-0.053887702	0.336288434	-0.102442741	0.63168476	-0.050230795	-0.21372504	0.037501553	0.3724172	-0.050854321	-0.125845308	0.745062301	-0.608268171	0.351128597	-1.329555178	-1.329555178	-0.615190956	-0.681085916	-0.217428521	0.45460429	-1.329555178	-0.267209596	-0.582410782	0.851950724	-1.329555178	-0.17422306	-0.266225893	0.241893966	-0.443229639	-0.255226182	-0.11213967	-0.282498165	-1.329555178	0.599889466	-0.083838953	-1.329555178	0.93906197	-1.329555178	0.076247021	0.718110569	-0.22462407	0.592820978	-0.52469012	-0.289932737	0.919931331	-0.210693039	0.211300831	-0.485911426	0.505227274	-0.04490221	1.440315478	0.593577755	-0.629116722	-0.121631981	-1.329555178	-0.144261754	0.248226342	-0.834801715	0.637472197	-0.013587732	-0.118897164	0.948681898	0.138975273	-1.329555178	-1.329555178	0.353187443	1.424213873	-1.126967257	1.522988305	-1.329555178	1.330279763	0.741024386	0.822141726	-1.329555178	0.271333508	-1.329555178	0.316582793	-1.329555178	-1.329555178	0.63778063	-0.030654299	1.012306525	2.088271338	0.342260936	1.13615526	1.246315688	-0.222066038	0.876171134	-0.553682931	0.974822723	0.735573145
